"StatsOfUser";"Statistics of user"
"GiveText";"Please type the text"
"DefineBlanks";"Please define at least one blank with brackets [...]"
"FillLists";"Please fill the two lists below"
"QuestionWeighting";"Weighting"
"LessAnswers";"Rem. answ."
"MoreAnswers";"Add answ."
"TypeTextBelow";"Please type your text below"
"UseTagForBlank";"use brackets [...] to define one or more blanks"
"DefaultTextInBlanks";"[British people] live in [United Kingdom]."
"FillType";"Fill type"
"FillTextField";"Fill text field"
"FillSelectBox";"Select in drop down list"
"AddWrongAnswers";"Add wrong answers for drop down lists <small>(Optionnal. One wrong answer by line.)</small>"
"WeightingForEachBlank";"Please give a weighting to each blank"
"MakeCorrespond";"Make correspond"
"DefaultMatchingProp1";"Your daddy is"
"DefaultMatchingProp2";"Your mother is"
"LessElements";"Rem. elem."
"MoreElements";"Add elem."
"DefineOptions";"Please define the options"
"DefaultMatchingOpt1";"rich"
"DefaultMatchingOpt2";"good looking"
"ExerciseNotFound";"Exercice not found"
"CurrentTime";"Current time"
"MaxAllowedTime";"Time limit"
"NoTimeLimit";"No time limitation"
"NoMoreAttemptsAvailable";"You have reached the maximum number of allowed attempts."
"ExerciseNotAvailable";"Exercise not available"
"ExerciseNoMoreAvailable";"Exercise no longer available"
"ModifyExercise";"Modify exercise"
"AlreadyAnswered";"You have already answered the question"
"MyResults";"My results"
"NewEx";"New exercise"
"ExerciseName";"Exercise name"
"NoEx";"There is no exercise for the moment"
"UsedInSeveralPath";"blockUsedInSeveralPath"
"ConfirmDeleteExercise";"Are you sure you want to delete this exercise ?"
"GiveExerciseName";"Please give the exercise name"
"ExerciseDescription";"Exercise description"
"ExerciseType";"Exercise type"
"SimpleExercise";"On an unique page"
"SequentialExercise";"One question per page (sequential)"
"RandomQuestions";"Random questions"
"AllowedTime";"Time limit"
"MinuteShort";"min."
"SecondShort";"sec."
"AttemptsAllowed";"Attempts allowed"
"AttemptAllowed";"attempt allowed"
"ElementList";"Element list"
"CorrespondsTo";"Corresponds to"
"YourTotalScore";"Your total score is"
"TimeOver";"Time is over, results not submitted."
"UsedInSeveralExercises";"Warning ! This question and its answers are used in several exercises. Would you like to modify them"
"ModifyInAllExercises";"in all exercises"
"ModifyInThisExercise";"only in the current exercise"
"GoBackToQuestionList";"Go back to the question list"
"GoBackToQuestionPool";"Go back to the question pool"
"EditQuestion";"Edit question"
"NoAnswer";"There is no answer for the moment"
"EditAnswers";"Edit answers"
"NewQu";"New question"
"GetExistingQuestion";"Get a question from another exercise"
"QuestionList";"Question list of the exercise"
"MoveUp";"Move up"
"MoveDown";"Move down"
"NoQuestion";"There is no question for the moment"
"AllExercises";"All exercises"
"OrphanQuestions";"Orphan questions"
"GoBackToEx";"Go back to the exercise"
"ConfirmDeleteQuestion";""
"GiveQuestion";"Please give the question"
"ReplaceAttachedFile";"Replace attached file"
"DeleteAttachedFile";"Delete attached file"
"AnswerType";"Answer type"
